%Station name,%Station ID,%Lat,%Long,%Elev (m),%region
'LSMP',6610,46.81,6.95,491,7
'LFME',7645,43.85,4.4,60,7
'Stuttgart',10739,48.83,9.19,315,7
'LIML',16080,45.43,9.28,103,7
'LIRE',16245,41.65,12.43,32,7
'Tateno',47646,36.05,140.13,31,9
'FMEE',61980,-20.88,55.53,9,8
'WMW',71722,46.38,-75.96,173,1
'WEU',71917,79.98,-85.93,10,1
'NKX',72293,32.85,-117.12,137,1
'LZK',72340,34.84,-92.26,173,1
'OUN',72357,35.18,-97.44,345,1
'AMA',72363,35.23,-101.7,1099,1
'VEF',72388,36.05,-115.18,697,1
'VBG',72393,34.75,-120.56,121,1
'WAL',72402,37.93,-75.47,12,1
'IAD',72403,38.98,-77.46,93,1
'ILN',72426,39.41,-83.81,317,1
'SGF',72440,37.23,-93.38,387,1
'DDC',72451,37.76,-99.97,790,1
'DNR',72469,39.77,-104.87,1625,1
'GJT',72476,39.11,-108.53,1475,1
'PIT',72520,40.53,-80.22,359,1
'BUF',72528,42.93,-78.73,215,1
'DTX',72632,42.7,-83.46,329,1
'APX',72634,44.91,-84.71,446,1
'1Y7',74004,32.85,-114.4,98,1
'LMN',74646,36.62,-97.48,317,1
